w_lya,w_SiIV,CIV,CIII,MgII
4341.55557069156,4993.08900394509,5535.65840959412,6819.11175113237,10000.11111305928
3605.6611385262,4146.759540350549,4597.3633363974,5663.27111100615,8305.0905220956
3496.57774241412,4021.30609474293,4458.27760797524,5491.93808159549,8053.83355579656
2457.77472424068,2826.6108195467696,3133.76187396436,3860.33075721661,5661.10923448584
4215.01008234852,4847.55294525453,5374.30780948404,6620.35169553429,9708.63288050376
2583.63571771656,2971.35966182634,3294.23971551912,4058.01570346362,5951.01083750928
3080.79302420448,3543.12492886872,3928.13532729696,4838.881265502961,7096.13687001024
2800.3267006104,3220.5692703006,3570.5294559608,4398.363766215801,6450.1254683952
2999.181270618,3449.2657710644994,3824.0770507859997,4710.696871948499,6908.156642483999
4501.72491725268,5177.2948237397695,5739.88078468836,7070.68348746561,10369.03677494184
4171.826868000479,4797.889263837719,5319.24746998896,6552.525507519959,9609.166932258238
3169.55536418352,3645.2077552882797,4041.3108897790403,4978.296805798041,7300.58738273376
2453.66494054188,2821.8842842160693,3128.52173403676,3853.8756804915097,5651.642974531439
4534.420629844561,5214.89715321834,5781.56913657512,7122.03736611962,10444.34636237328
4621.4573047188,5314.9953454856995,5892.544406467599,7258.7424716401,10644.822068714398
4612.33702209228,5304.50639005167,5880.91567837756,7244.41759996231,10623.814888646639
4406.162752893721,5067.39172926483,5618.035171944441,6920.58772862219,10148.92390382136
3088.7050848420004,3552.2243455005,3938.2235236340002,4851.3084300965,7114.361094996
3695.82677081904,4250.45624992956,4712.3281531620805,5804.8907477250805,8512.77330464352
2806.3771265852397,3227.5276783901095,3578.24399303948,4407.86693396123,6464.061701859119
3481.80406851888,4004.3153485753196,4439.44057806576,5468.73364907676,8019.804651157439
4587.14929797696,5275.53876628944,5848.80031452992,7204.85622554192,10565.79880760448
3779.7088467106796,4346.92643531427,4819.28118215436,5936.641047844109,8705.98287334584
3459.20556512856,3978.3255076193395,4410.62657504312,5433.23906251262,7967.75244516528
2677.00848746292,3078.74480116113,3413.29376185284,4204.67266570809,6166.08077205096
4150.4193739398,4773.26916593595,5291.9520518846,6518.90159278835,9559.8580346124
3528.78808815,4058.3502187874997,4499.3470975499995,5542.5296134875,8128.025174699999
3256.38409326516,3745.06679552049,4152.02102040132,5114.67529898457,7500.58411765608
3433.16704298256,3948.3794073128397,4377.42640940112,5392.34137285812,7907.776680617279
2997.3724223351996,3447.1854705077994,3821.7706962904,4707.8557846054,6903.9902363375995
3728.77266243924,4288.34630258361,4754.33549339748,5856.63757280673,8588.65914131112
3764.40923274156,4329.33082170759,4799.77355744412,5912.61054179487,8670.74254595928
3590.68406869692,4129.5348747996295,4578.26696847084,5639.7472124385895,8270.59312594296
4183.7846327316,4811.6415198249,5334.4941021732,6571.307101505699,9636.7098196008
2968.1651594587197,3413.5950993310794,3784.5302584494398,4661.98107765844,6836.71576079136
3728.7411378983998,4288.310047182599,4754.2952983367995,5856.5880584418,8588.5865293392
3895.6325517080404,4480.24670895681,4967.088580215081,6118.717883234331,8972.99544792552
3606.17542566372,4147.351006107329,4598.01907323444,5664.07888172469,8306.27510408136
2460.8197863506402,2830.11285145446,3137.64445093528,3865.1135173307803,5668.12307064432
3879.2298728975998,4461.3824945363995,4946.1745033552,6092.9548363252,8935.214378908799
2590.87406266572,2979.68425884783,3303.46889718844,4069.3846891411904,5967.68326115736
2679.05621425728,3081.0998285179194,3415.90469608256,4207.8889501985595,6170.797398416639
3426.9027858078002,3941.1750785629497,4369.4392289206,5382.50234879935,7893.3479195964
3995.2931311956,4594.8632641209,5094.1598375012,6275.2508626337,9202.5483932328
4851.04739183064,5579.039815424459,6185.28102489528,7619.35065354078,11173.64781888432
4810.747177616639,5532.69178344096,6133.89662681728,7556.05268122528,11080.822421752318
3080.18125415988,3542.42135103057,3927.3552958227606,4837.92038219001,7094.72775101544
4373.48076400716,5029.8051829959895,5576.36431833532,6869.25540525607,10073.64592685208
2757.26545382496,3171.04586001144,3515.62463002592,4330.72914788792,6350.94045382848
4659.06417887508,5358.245850233369,5940.49468737316,7317.81011993041,10731.44376779304
2942.14048497252,3383.6649247905298,3751.34774913204,4621.10513798229,6776.771892215759
3428.95425554136,3943.5344105585395,4372.05493554872,5385.72451217822,7898.0731672516795
2546.94172455684,2929.15903332501,3247.4533946926804,4000.3818816969306,5866.49182057992
3956.6622362685603,4550.43506470434,5044.90388882312,6214.57482491762,9113.568018485279
2678.9688907565996,3080.9994004561495,3415.7933550981998,4207.7517945869495,6170.596262050799
4457.47251895452,5126.40150687603,5683.4571925460405,7001.17797398379,10267.10812453176
4072.7372726726403,4683.92937992496,5192.90424052928,6396.889350637281,9380.92916188032
3426.61789830984,3940.8474382482596,4369.07598587368,5382.05488713418,7892.691724693919
3522.77360289816,4051.4331450137397,4491.67838634232,5533.08289643182,8114.17172521008
2990.22386539344,3438.96413590116,3812.65599795088,4696.62782544388,6887.5246256707205
3408.6813557238,3920.21917446195,4346.2061708526,5353.88266030635,7851.3776344044
4657.57588173852,5356.534205652029,5938.597048514041,7315.47250975179,10728.01570232376
3400.33845483384,3910.6242617592593,4335.56863582168,5340.7787917571795,7832.16103460592
3855.44224015392,4434.02507262888,4915.84431245984,6055.59253073384,8880.42319480896
4543.77382536948,5225.65397458497,5793.4948380019605,7136.72806498921,10465.89002178024
4696.89335931504,5401.75202257356,5988.72841775408,7377.226936017079,10818.577515491519
2990.1154040081997,3438.8393978110494,3812.5177053114,4696.45746938265,6887.2748014116
2728.1380237097997,3137.5473020284494,3478.4859821746,4284.9798311408495,6283.849860872399
2630.4857218957204,3025.24040500533,3353.9753598984403,4131.601175038691,6058.92267689736
3763.74561691284,4328.567617634009,4798.92742050468,5911.56822633393,8669.21400810792
2540.97506993616,2922.29696808324,3239.84566946832,3991.01029034532,5852.748541654079
4817.01306807396,5539.897990578689,6141.88588979892,7565.89427061717,11095.254944790478
3764.513416482,4329.4506402105,4799.906395914,5912.774179126501,8670.982517316
3376.0133469582,3882.6487062985498,4304.5531424614,5302.57229497015,7776.1318585116
3208.84983362112,3690.39911125968,4091.4129227142403,5040.0150940782405,7391.09620016256
3149.88711188892,3622.58790563763,4016.2330750548404,4947.404650172591,7255.28456323896
2499.84897861816,2874.99912034374,3187.4082447823203,3926.4151451218204,5758.02086257008
2508.09117378456,2884.4782145033396,3197.91737595512,3939.36083912462,5777.00550209328
2655.57663756216,3054.09669235974,3385.96728907032,4171.01049620982,6116.715774442079
3888.25468626972,4471.7616537288295,4957.68150429644,6107.12975817419,8956.00166010936
3810.92777170404,4382.83035697581,4859.08657030708,5985.67539390133,8777.89090577352
2476.64343489732,2848.3111410477295,3157.82024086164,3889.96710402189,5704.570431758159
2682.9389862631197,3085.5652847101796,3420.85538694824,4213.98746852474,6179.74077155856
3894.2368169718,4478.64151753395,4965.308962148601,6116.52565720235,8969.7805858284
3595.33174921596,4134.880028654189,4584.19294853292,5647.04714268867,8281.29834918648
3417.8407532802,3930.7531147690497,4357.8847720554,5368.26896827665,7872.4749097476
2760.21545378592,3174.43856387688,3519.38599892384,4335.36259759784,6357.73532882496
2829.5346282231603,3254.16040596999,3607.77074136732,4444.23951723807,6517.40147506008
3400.10037473496,3910.35045318894,4335.265074095921,5340.40484864542,7831.612653408481
2504.64488439048,2880.51474348522,3193.5232180189605,3933.94788698746,5769.06750007824
2838.04901406,3263.9525382149995,3618.62692662,4457.612730495,6537.0130642799995
3063.3498982242,3523.0641282850497,3905.8946383434,4811.48402886465,7055.9592896196
3029.25592441212,3483.8537017524295,3862.42344702124,4757.93395592899,6977.4290207205595
3301.1586850522804,3796.56067099167,4209.11043029756,5185.00100138231,7603.71556112664
4060.80975891084,4670.21191464351,5177.69617955068,6378.15527066743,9353.45595303192
4201.8908580636,4832.464930497899,5357.5802695372,6599.7458423947,9678.4147482168
3861.02560443288,4440.44632748382,4922.96332704376,6064.36210291726,8893.28362288944
4820.23047916644,5543.59823572941,6145.98821867188,7570.94773254613,11102.66576054472
3826.8648507523203,4401.15909948648,4879.40698869664,6010.70714145064,8814.59953674816
3324.8583210523198,3823.8168905614793,4239.32842179664,5222.22509392564,7658.304058148159
4464.98088294024,5135.0366444538595,5693.03065937448,7012.97106801498,10284.402495849119
2823.1609143816,3246.8301944873997,3599.6439992232004,4434.2285738682,6502.7205973008
3373.7626835905203,3880.06028785503,4301.683455918041,5299.03726593079,7770.94779869976
3036.74737833324,3492.4693915871094,3871.97535283548,4769.70048998223,6994.684442283119
4479.52277532552,5151.76082586378,5711.57215851304,7035.811450369541,10317.89752712976
2827.29906664296,3251.58935562594,3604.92031021192,4440.72820798642,6512.252199912479
4673.84349877536,5375.24308969704,5959.33891616672,7341.02342040872,10765.485677143679
4636.52973321564,5332.32968009571,5911.76236054028,7282.41614634203,10679.53910901432
3057.34812073704,3516.16166931906,3898.24213004808,4802.05727139858,7042.13511052752
2657.9747581514403,3056.85469680066,3389.02498951688,4174.77713054738,6122.23947947472
3360.58866777972,3864.9092590563296,4284.886054566439,5278.345353881689,7740.603462489359
3758.12767541016,4322.10659658174,4791.76431856632,5902.74434505582,8656.273936666079
4409.5646981802,5071.30420149405,5622.3727893554005,6925.9310312016505,10156.7597659476
2940.0460151867997,3381.2561397626996,3748.6772157036,4617.815436101099,6771.947600498399
4266.3631571324395,4906.6125308909095,5439.78505045388,6701.00996421563,9826.91685625272
4496.68431561492,5171.497783439129,5733.45381435684,7062.76641136209,10357.42651782696
3583.96694625996,4121.809719695189,4569.70236652092,5629.19689060167,8255.121258858479
2460.54553827888,2829.7974472153196,3137.2947735857597,3864.68276659676,5667.4913820374395
4182.04016907924,4809.63526604361,5332.26984067748,6568.56714058673,9632.691713631119
3550.58977082472,4083.4236608425795,4527.14512203144,5576.77266487794,8178.242025699359
4710.02723331816,5416.85688551874,6005.47463668232,7397.8557988968205,10848.82939117008
3559.2888014424,4093.4281473486,4538.236736824801,5590.435892479801,8198.2789160112
4767.869611926721,5483.37961910808,6079.226001685441,7488.70656361944,10982.06048857536
4424.5576499810395,5088.547132410059,5641.48940743608,6949.479874961579,10191.293743799519
4583.39094588804,5271.21640160181,5844.00826407508,7198.9531287193295,10557.14201676552
4410.68121086736,5072.5882682600395,5623.7963880507195,6927.68469406772,10159.33148263968
3042.1068662384405,3498.63317313741,3878.80891601588,4778.11842829013,7007.02920528072
4737.31106050176,5448.23517269664,6040.26261645952,7440.70944053152,10911.67352594688
4111.3213784292,4728.3037685613,5242.1005311284,6457.4918984309,9469.8017649096
3941.4446813804398,4532.93382471291,5025.50089274988,6190.67320586163,9078.51670167672
3928.1514152836803,4517.64564984252,5008.55144247536,6169.7939920463605,9047.89769061984
